0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 21498
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/service/todoservice.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/archivecontroller.js HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/trashcontroller.js HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/reminderController.js HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/pincontroller.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/service/generatenewAccess.js HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-sanitize/angular-sanitize.js HTTP/1.1" 200 29773
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/js/datetimepicker.js HTTP/1.1" 200 22071
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/js/datetimepicker.templates.js HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-tooltips/dist/angular-tooltips.js HTTP/1.1" 200 28491
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/moment/moment.js HTTP/1.1" 200 128945
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-ui-sortable/sortable.js HTTP/1.1" 200 22485
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-tpls.js HTTP/1.1" 200 275010
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 337546
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/templates/home.html HTTP/1.1" 200 12026
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/templates/archive.html HTTP/1.1" 200 4891
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/templates/trash.html HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/templates/reminder.html HTTP/1.1" 200 4993
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 12889
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/templates/pin.html HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/icons8-Notification-48.png HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/refresh.svg HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/grid.svg HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/remindericon.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/noteicon.png HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/list.svg HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/archieve.png HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/list.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:39 +0530] "GET /TodoApp/images/icons8-Pin.png HTTP/1.1" 200 357
